iter,L_cont,L_mom,loss
1.010000000000000000e+02,1.625168472528457642e-01,2.665988922119140625e+00,2.828505754470825195e+00
1.020000000000000000e+02,1.835346966981887817e-01,1.865521669387817383e+00,2.049056291580200195e+00
1.030000000000000000e+02,1.921647340059280396e-01,1.877226591110229492e+00,2.069391250610351562e+00
1.040000000000000000e+02,1.779203414916992188e-01,1.665062427520751953e+00,1.842982769012451172e+00
1.050000000000000000e+02,1.874720305204391479e-01,1.558588385581970215e+00,1.746060371398925781e+00
1.060000000000000000e+02,1.889814734458923340e-01,1.716365814208984375e+00,1.905347347259521484e+00
1.070000000000000000e+02,1.963230520486831665e-01,1.553061366081237793e+00,1.749384403228759766e+00
1.080000000000000000e+02,1.654969006776809692e-01,2.148475408554077148e+00,2.313972234725952148e+00
1.090000000000000000e+02,1.553448438644409180e-01,2.224391222000122070e+00,2.379735946655273438e+00
1.100000000000000000e+02,1.789832711219787598e-01,1.740242958068847656e+00,1.919226169586181641e+00
1.110000000000000000e+02,2.250515967607498169e-01,2.290437698364257812e+00,2.515489339828491211e+00
1.120000000000000000e+02,2.271002084016799927e-01,2.311097383499145508e+00,2.538197517395019531e+00
1.130000000000000000e+02,1.882834881544113159e-01,1.659657001495361328e+00,1.847940444946289062e+00
1.140000000000000000e+02,1.564901322126388550e-01,2.228397846221923828e+00,2.384887933731079102e+00
1.150000000000000000e+02,1.549731791019439697e-01,2.218080043792724609e+00,2.373053312301635742e+00
1.160000000000000000e+02,1.763056665658950806e-01,1.425040364265441895e+00,1.601346015930175781e+00
1.170000000000000000e+02,2.318371683359146118e-01,2.597894191741943359e+00,2.829731464385986328e+00
1.180000000000000000e+02,2.471866160631179810e-01,3.414267778396606445e+00,3.661454439163208008e+00
1.190000000000000000e+02,2.161749899387359619e-01,2.377332687377929688e+00,2.593507766723632812e+00
1.200000000000000000e+02,1.609539985656738281e-01,1.711737155914306641e+00,1.872691154479980469e+00
1.210000000000000000e+02,1.450386047363281250e-01,2.415672779083251953e+00,2.560711383819580078e+00
1.220000000000000000e+02,1.606090217828750610e-01,2.633976936340332031e+00,2.794585943222045898e+00
1.230000000000000000e+02,1.865058541297912598e-01,1.741904258728027344e+00,1.928410053253173828e+00
1.240000000000000000e+02,2.069246768951416016e-01,2.067553043365478516e+00,2.274477720260620117e+00
1.250000000000000000e+02,2.227952778339385986e-01,2.671730279922485352e+00,2.894525527954101562e+00
1.260000000000000000e+02,2.201217114925384521e-01,1.842474937438964844e+00,2.062596559524536133e+00
1.270000000000000000e+02,1.790116280317306519e-01,1.696962833404541016e+00,1.875974416732788086e+00
1.280000000000000000e+02,1.434336900711059570e-01,2.253537416458129883e+00,2.396971225738525391e+00
1.290000000000000000e+02,1.408137083053588867e-01,1.996287345886230469e+00,2.137101173400878906e+00
1.300000000000000000e+02,1.683218330144882202e-01,1.354568600654602051e+00,1.522890448570251465e+00
1.310000000000000000e+02,2.121717780828475952e-01,1.780999064445495605e+00,1.993170857429504395e+00
1.320000000000000000e+02,2.231659442186355591e-01,1.651106238365173340e+00,1.874272227287292480e+00
1.330000000000000000e+02,1.957486867904663086e-01,1.521837711334228516e+00,1.717586398124694824e+00
1.340000000000000000e+02,1.668013334274291992e-01,1.774317502975463867e+00,1.941118836402893066e+00
1.350000000000000000e+02,1.675728559494018555e-01,1.544601917266845703e+00,1.712174773216247559e+00
1.360000000000000000e+02,1.999694705009460449e-01,1.873038291931152344e+00,2.073007822036743164e+00
1.370000000000000000e+02,2.043705880641937256e-01,2.192708969116210938e+00,2.397079467773437500e+00
1.380000000000000000e+02,1.777178496122360229e-01,1.950227260589599609e+00,2.127945184707641602e+00
1.390000000000000000e+02,1.484340876340866089e-01,1.602778196334838867e+00,1.751212239265441895e+00
1.400000000000000000e+02,1.529755443334579468e-01,2.017045259475708008e+00,2.170020818710327148e+00
1.410000000000000000e+02,1.598371565341949463e-01,1.906810522079467773e+00,2.066647768020629883e+00
1.420000000000000000e+02,1.706434488296508789e-01,1.502242207527160645e+00,1.672885656356811523e+00
1.430000000000000000e+02,2.044043838977813721e-01,1.586330890655517578e+00,1.790735244750976562e+00
1.440000000000000000e+02,2.203564941883087158e-01,1.666692972183227539e+00,1.887049436569213867e+00
1.450000000000000000e+02,1.998706758022308350e-01,1.431528329849243164e+00,1.631399035453796387e+00
1.460000000000000000e+02,1.593088805675506592e-01,1.430799126625061035e+00,1.590108036994934082e+00
1.470000000000000000e+02,1.513453423976898193e-01,1.535613417625427246e+00,1.686958789825439453e+00
1.480000000000000000e+02,1.707494556903839111e-01,1.319656014442443848e+00,1.490405440330505371e+00
1.490000000000000000e+02,1.831701695919036865e-01,1.279338598251342773e+00,1.462508797645568848e+00
