iter,L_cont,L_mom,loss
6.800000000000000000e+01,9.808542728424072266e-01,2.549955129623413086e+00,3.530809402465820312e+00
6.900000000000000000e+01,8.607238531112670898e-01,2.355131387710571289e+00,3.215855121612548828e+00
7.000000000000000000e+01,8.946202993392944336e-01,2.184797048568725586e+00,3.079417228698730469e+00
7.100000000000000000e+01,8.264964222908020020e-01,2.066973209381103516e+00,2.893469572067260742e+00
7.200000000000000000e+01,8.255244493484497070e-01,2.048130512237548828e+00,2.873654842376708984e+00
7.300000000000000000e+01,8.637151122093200684e-01,2.065137386322021484e+00,2.928852558135986328e+00
7.400000000000000000e+01,7.110164761543273926e-01,1.988734483718872070e+00,2.699750900268554688e+00
7.500000000000000000e+01,7.370991110801696777e-01,2.001647233963012695e+00,2.738746404647827148e+00
7.600000000000000000e+01,8.155614137649536133e-01,2.011754751205444336e+00,2.827316284179687500e+00
7.700000000000000000e+01,8.052236437797546387e-01,1.627617001533508301e+00,2.432840585708618164e+00
7.800000000000000000e+01,6.705633401870727539e-01,2.345802068710327148e+00,3.016365528106689453e+00
7.900000000000000000e+01,6.544609665870666504e-01,2.793170690536499023e+00,3.447631597518920898e+00
8.000000000000000000e+01,7.315794825553894043e-01,1.758728384971618652e+00,2.490307807922363281e+00
8.100000000000000000e+01,8.608096837997436523e-01,2.558132648468017578e+00,3.418942451477050781e+00
8.200000000000000000e+01,8.449540138244628906e-01,3.329694747924804688e+00,4.174648761749267578e+00
8.300000000000000000e+01,7.140348553657531738e-01,2.103318691253662109e+00,2.817353487014770508e+00
8.400000000000000000e+01,5.579165816307067871e-01,2.327927827835083008e+00,2.885844469070434570e+00
8.500000000000000000e+01,5.393708348274230957e-01,2.545241594314575195e+00,3.084612369537353516e+00
8.600000000000000000e+01,6.392831206321716309e-01,1.459716677665710449e+00,2.098999738693237305e+00
8.700000000000000000e+01,1.023469328880310059e+00,4.393807888031005859e+00,5.417277336120605469e+00
8.800000000000000000e+01,1.335394501686096191e+00,7.924132823944091797e+00,9.259527206420898438e+00
8.900000000000000000e+01,1.391708731651306152e+00,6.838531970977783203e+00,8.230240821838378906e+00
9.000000000000000000e+01,1.169087290763854980e+00,3.633164882659912109e+00,4.802252292633056641e+00
9.100000000000000000e+01,7.038220167160034180e-01,4.969771862030029297e+00,5.673593997955322266e+00
9.200000000000000000e+01,5.036756992340087891e-01,9.424908638000488281e+00,9.928584098815917969e+00
9.300000000000000000e+01,4.462490379810333252e-01,1.069796180725097656e+01,1.114421081542968750e+01
9.400000000000000000e+01,4.563937783241271973e-01,7.783935546875000000e+00,8.240329742431640625e+00
9.500000000000000000e+01,5.254982709884643555e-01,3.136093616485595703e+00,3.661592006683349609e+00
