iter,L_cont,L_mom,loss
1.210000000000000000e+02,1.876384317874908447e-01,1.084236741065979004e+00,1.271875143051147461e+00
1.220000000000000000e+02,1.791869848966598511e-01,1.402724385261535645e+00,1.581911325454711914e+00
1.230000000000000000e+02,1.956651806831359863e-01,9.556616544723510742e-01,1.151326894760131836e+00
1.240000000000000000e+02,2.381960600614547729e-01,1.393797278404235840e+00,1.631993293762207031e+00
1.250000000000000000e+02,2.491712570190429688e-01,1.911302924156188965e+00,2.160474300384521484e+00
1.260000000000000000e+02,2.283348739147186279e-01,1.182011485099792480e+00,1.410346388816833496e+00
1.270000000000000000e+02,1.866707503795623779e-01,1.066772341728210449e+00,1.253443121910095215e+00
1.280000000000000000e+02,1.791185140609741211e-01,1.381118178367614746e+00,1.560236692428588867e+00
1.290000000000000000e+02,1.964314132928848267e-01,9.363880157470703125e-01,1.132819414138793945e+00
1.300000000000000000e+02,2.377830743789672852e-01,1.370184063911437988e+00,1.607967138290405273e+00
1.310000000000000000e+02,2.470991760492324829e-01,1.880432248115539551e+00,2.127531528472900391e+00
1.320000000000000000e+02,2.255059480667114258e-01,1.160592198371887207e+00,1.386098146438598633e+00
1.330000000000000000e+02,1.849291324615478516e-01,1.051882505416870117e+00,1.236811637878417969e+00
1.340000000000000000e+02,1.793031543493270874e-01,1.361058235168457031e+00,1.540361404418945312e+00
1.350000000000000000e+02,1.985069215297698975e-01,9.162696599960327148e-01,1.114776611328125000e+00
1.360000000000000000e+02,2.384133785963058472e-01,1.348037600517272949e+00,1.586450934410095215e+00
1.370000000000000000e+02,2.453980743885040283e-01,1.854655504226684570e+00,2.100053548812866211e+00
1.380000000000000000e+02,2.227697670459747314e-01,1.143921136856079102e+00,1.366690874099731445e+00
1.390000000000000000e+02,1.836103796958923340e-01,1.036639332771301270e+00,1.220249652862548828e+00
1.400000000000000000e+02,1.803767830133438110e-01,1.335677862167358398e+00,1.516054630279541016e+00
1.410000000000000000e+02,2.014592438936233521e-01,8.988255858421325684e-01,1.100284814834594727e+00
1.420000000000000000e+02,2.373940646648406982e-01,1.328586101531982422e+00,1.565980195999145508e+00
1.430000000000000000e+02,2.405913919210433960e-01,1.833385586738586426e+00,2.073976993560791016e+00
1.440000000000000000e+02,2.172535359859466553e-01,1.136655211448669434e+00,1.353908777236938477e+00
1.450000000000000000e+02,1.815168261528015137e-01,1.023529887199401855e+00,1.205046653747558594e+00
1.460000000000000000e+02,1.827763915061950684e-01,1.308767199516296387e+00,1.491543531417846680e+00
1.470000000000000000e+02,2.072660773992538452e-01,8.845202326774597168e-01,1.091786265373229980e+00
1.480000000000000000e+02,2.369979321956634521e-01,1.315145850181579590e+00,1.552143812179565430e+00
1.490000000000000000e+02,2.346979230642318726e-01,1.827022075653076172e+00,2.061719894409179688e+00
1.500000000000000000e+02,2.102713584899902344e-01,1.149442315101623535e+00,1.359713673591613770e+00
1.510000000000000000e+02,1.790602356195449829e-01,1.014620065689086914e+00,1.193680286407470703e+00
1.520000000000000000e+02,1.863851845264434814e-01,1.285740017890930176e+00,1.472125172615051270e+00
1.530000000000000000e+02,2.154462635517120361e-01,8.816924095153808594e-01,1.097138643264770508e+00
1.540000000000000000e+02,2.357281148433685303e-01,1.311329960823059082e+00,1.547058105468750000e+00
1.550000000000000000e+02,2.259951531887054443e-01,1.862049460411071777e+00,2.088044643402099609e+00
1.560000000000000000e+02,2.001940011978149414e-01,1.210237741470336914e+00,1.410431742668151855e+00
1.570000000000000000e+02,1.743434667587280273e-01,1.012888908386230469e+00,1.187232375144958496e+00
1.580000000000000000e+02,1.901610493659973145e-01,1.266823291778564453e+00,1.456984281539916992e+00
1.590000000000000000e+02,2.274654507637023926e-01,9.131036400794982910e-01,1.140569090843200684e+00
1.600000000000000000e+02,2.372310757637023926e-01,1.322694659233093262e+00,1.559925794601440430e+00
1.610000000000000000e+02,2.195045351982116699e-01,1.973127484321594238e+00,2.192631959915161133e+00
1.620000000000000000e+02,1.909343004226684570e-01,1.407690763473510742e+00,1.598625063896179199e+00
1.630000000000000000e+02,1.662356704473495483e-01,1.073999524116516113e+00,1.240235209465026855e+00
1.640000000000000000e+02,1.893440186977386475e-01,1.206670165061950684e+00,1.396014213562011719e+00
1.650000000000000000e+02,2.396516352891921997e-01,1.004057168960571289e+00,1.243708848953247070e+00
1.660000000000000000e+02,2.428691685199737549e-01,1.367333650588989258e+00,1.610202789306640625e+00
1.670000000000000000e+02,2.202724665403366089e-01,2.018740892410278320e+00,2.239013433456420898e+00
1.680000000000000000e+02,1.883002519607543945e-01,1.587183833122253418e+00,1.775484085083007812e+00
1.690000000000000000e+02,1.573564857244491577e-01,1.325514435768127441e+00,1.482870936393737793e+00
1.700000000000000000e+02,1.740991324186325073e-01,1.170891761779785156e+00,1.344990849494934082e+00
1.710000000000000000e+02,2.283065915107727051e-01,8.404939174652099609e-01,1.068800449371337891e+00
1.720000000000000000e+02,2.574957907199859619e-01,1.534695386886596680e+00,1.792191147804260254e+00
1.730000000000000000e+02,2.510889470577239990e-01,2.075737953186035156e+00,2.326826810836791992e+00
1.740000000000000000e+02,2.195989191532135010e-01,1.306475996971130371e+00,1.526074886322021484e+00
1.750000000000000000e+02,1.762811988592147827e-01,9.794071316719055176e-01,1.155688285827636719e+00
1.760000000000000000e+02,1.705670058727264404e-01,1.124920487403869629e+00,1.295487523078918457e+00
1.770000000000000000e+02,1.929972618818283081e-01,7.746089696884155273e-01,9.676062464714050293e-01
1.780000000000000000e+02,2.428888678550720215e-01,1.509676814079284668e+00,1.752565622329711914e+00
1.790000000000000000e+02,2.637385427951812744e-01,2.153815507888793945e+00,2.417554140090942383e+00
1.800000000000000000e+02,2.508191466331481934e-01,1.372061014175415039e+00,1.622880220413208008e+00
1.810000000000000000e+02,2.094661444425582886e-01,8.792663812637329102e-01,1.088732481002807617e+00
1.820000000000000000e+02,1.888235658407211304e-01,1.020868062973022461e+00,1.209691643714904785e+00
